99,"['16.4914133333,-93.1119533333', '30/01/2020']"
100,"['16.4914133333,-93.1119533333', '30/01/2020']"
101,"['16.4914133333,-93.1119533333', '30/01/2020']"
102,"['16.4914133333,-93.1119533333', '30/01/2020']"
103,"['16.4914133333,-93.1119533333', '30/01/2020']"
104,"['16.4914133333,-93.1119533333', '30/01/2020']"
105,"['16.46559,-93.12256', '30/01/2020']"
106,"['16.46559,-93.12256', '30/01/2020']"
107,"['16.46559,-93.12256', '30/01/2020']"
108,"['16.46559,-93.12256', '30/01/2020']"
109,"['16.46559,-93.12256', '30/01/2020']"
110,"['16.46559,-93.12256', '30/01/2020']"
111,"['16.46559,-93.12256', '30/01/2020']"
112,"['16.46559,-93.12256', '30/01/2020']"
113,"['16.46559,-93.12256', '30/01/2020']"
114,"['16.43925,-93.1306383333', '30/01/2020']"
115,"['16.43925,-93.1306383333', '30/01/2020']"
116,"['16.43925,-93.1306383333', '30/01/2020']"
117,"['16.43925,-93.1306383333', '30/01/2020']"
118,"['16.43925,-93.1306383333', '30/01/2020']"
119,"['16.43925,-93.1306383333', '30/01/2020']"
120,"['16.43925,-93.1306383333', '30/01/2020']"
121,"['16.43925,-93.1306383333', '30/01/2020']"
122,"['16.4132466667,-93.140375', '30/01/2020']"
123,"['16.4132466667,-93.140375', '30/01/2020']"
124,"['16.4132466667,-93.140375', '30/01/2020']"
125,"['16.4132466667,-93.140375', '30/01/2020']"
126,"['16.4132466667,-93.140375', '30/01/2020']"
127,"['16.4132466667,-93.140375', '30/01/2020']"
128,"['16.4132466667,-93.140375', '30/01/2020']"
129,"['16.4132466667,-93.140375', '30/01/2020']"
130,"['16.4132466667,-93.140375', '30/01/2020']"
131,"['16.3888583333,-93.15275', '30/01/2020']"
132,"['16.3888583333,-93.15275', '30/01/2020']"
133,"['16.3888583333,-93.15275', '30/01/2020']"
134,"['16.3888583333,-93.15275', '30/01/2020']"
135,"['16.3888583333,-93.15275', '30/01/2020']"
136,"['16.3888583333,-93.15275', '30/01/2020']"
137,"['16.3888583333,-93.15275', '30/01/2020']"
138,"['16.3888583333,-93.15275', '30/01/2020']"
139,"['16.36741,-93.1671666667', '30/01/2020']"
140,"['16.36741,-93.1671666667', '30/01/2020']"
141,"['16.36741,-93.1671666667', '30/01/2020']"
142,"['16.36741,-93.1671666667', '30/01/2020']"
143,"['16.36741,-93.1671666667', '30/01/2020']"
144,"['16.36741,-93.1671666667', '30/01/2020']"
145,"['16.36741,-93.1671666667', '30/01/2020']"
146,"['16.36741,-93.1671666667', '30/01/2020']"
147,"['16.36741,-93.1671666667', '30/01/2020']"
148,"['16.35169,-93.1840816667', '30/01/2020']"
149,"['16.35169,-93.1840816667', '30/01/2020']"
150,"['16.35169,-93.1840816667', '30/01/2020']"
151,"['16.35169,-93.1840816667', '30/01/2020']"
152,"['16.35169,-93.1840816667', '30/01/2020']"
153,"['16.35169,-93.1840816667', '30/01/2020']"
154,"['16.35169,-93.1840816667', '30/01/2020']"
155,"['16.35169,-93.1840816667', '30/01/2020']"
156,"['16.3340666667,-93.2109666667', '30/01/2020']"
157,"['16.3340666667,-93.2109666667', '30/01/2020']"
158,"['16.3340666667,-93.2109666667', '30/01/2020']"
